cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
PDL0049056,FAVERAYE MACHELLES,FAVERAYE MACHELLES,ROUTE DE THOUARCE,FAVERAYE-MACHELLES,49380,Club ,-0.494613,47.237632,0.5197363911845729,0.5010248251748252,Route de Martigné 49380 Bellevigne-en-Layon,street,49345_13n24d,,Route de Martigné,Route de Martigné,49380,Bellevigne-en-Layon,"49, Maine-et-Loire, Pays de la Loire",49345,49133,Faveraye-Mâchelles,,ok
PDL0049057,FAYE D'ANJOU,ROUTE DE THOUARCE,SALLE DE SPORTS DU LAYON,FAYE-D'ANJOU,49380,Club ,-0.507696,47.272343,0.5543364083457526,,Route de Faye d’Anjou 49380 Bellevigne-en-Layon,street,49345_0060,,Route de Faye d’Anjou,Route de Faye d’Anjou,49380,Bellevigne-en-Layon,"49, Maine-et-Loire, Pays de la Loire",49345,49345,Thouarcé,,ok
PDL0049061,GREZ NEUVILLE,MAIRIE DE GREZ NEUVILLE,,LION-D'ANGERS,49220,Club ,-0.710481,47.623161,0.7019936363636363,0.6697914100185528,Route de Grez-Neuville 49220 Le Lion-d'Angers,street,49176_0521,,Route de Grez-Neuville,Route de Grez-Neuville,49220,Le Lion-d'Angers,"49, Maine-et-Loire, Pays de la Loire",49176,49176,Le Lion-d'Angers,,ok
PDL0049063,JUB JALLAIS BASKET,1 BOULEVARD CATHELINEAU,,JALLAIS,49510,Club ,-0.867241,47.197903,0.9152463144963144,,1 Boulevard Cathelineau 49510 Beaupréau-en-Mauges,housenumber,49023_3176_00001,1,1 Boulevard Cathelineau,Boulevard Cathelineau,49510,Beaupréau-en-Mauges,"49, Maine-et-Loire, Pays de la Loire",49023,49162,Jallais,,ok
PDL0049066,JUMELLIERE,RUE DU CORNET,LA JUMELLIERE,CHEMILLE-EN-ANJOU,49120,Club ,-0.730574,47.282228,0.6796477361853832,,Rue du Cornet 49120 Chemillé-en-Anjou,street,49092_1987,,Rue du Cornet,Rue du Cornet,49120,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49169,La Jumellière,,ok
PDL0049067,ELAN DES MAUGES,MAIRIE LANDEMONT,16 PLACE DE L'EGLISE,LANDEMONT,49270,Club ,-1.242918,47.265106,0.7568390051457976,0.5577614141414141,Place de l'Église (Landemont) 49270 Orée d'Anjou,street,49126_0302,,Place de l'Église (Landemont),Place de l'Église (Landemont),49270,Orée d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49126,49172,Landemont,,ok
PDL0049070,LONGUE ATHLETIC CLUB,MAIRIE longue jumelles,,LONGUE-JUMELLES,49160,Club ,-0.116002,47.391108,0.7078801782531194,0.5505773981191222,Route de Jumelles (Longué) 49160 Longué-Jumelles,street,49180_etd645,,Route de Jumelles (Longué),Route de Jumelles (Longué),49160,Longué-Jumelles,"49, Maine-et-Loire, Pays de la Loire",49180,49180,Longué,,ok
PDL0049073,MARTIGNE BRIAND,RUE DU 8 MAI,MAIRIE MARTIGNE,MARTIGNE-BRIAND,49540,Club ,-0.428151,47.234025,0.6279963636363636,,Rue du 8 Mai 49540 Terranjou,street,49086_nyx5xl,,Rue du 8 Mai,Rue du 8 Mai,49540,Terranjou,"49, Maine-et-Loire, Pays de la Loire",49086,49191,Martigné-Briand,,ok
PDL0049074,MAULEVRIER,RUE DES PETITS PONTS,,MAULEVRIER,49360,Club ,-0.747454,47.009222,0.8997517690417689,0.735632600422833,Rue des petits ponts 49360 Maulévrier,street,49192_0660,,Rue des petits ponts,Rue des petits ponts,49360,Maulévrier,"49, Maine-et-Loire, Pays de la Loire",49192,,,,ok
PDL0049077,STADE OLYMPIQUE CANDE LOIRE BASKET,6 RUE DE LA LIBERATION,,LOIRE,49440,Club ,-0.979913,47.614599,0.897164973262032,,6 Rue de la libération 49440 Loiré,housenumber,49178_0047_00006,6,6 Rue de la libération,Rue de la libération,49440,Loiré,"49, Maine-et-Loire, Pays de la Loire",49178,,,,ok
