cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association
PDL0049121,SEICHES BASKET CLUB SBC,MAIRIE,,SEICHES-SUR-LE-LOIR,49140,Club 
PDL0049123,LOIR BASKET CLUB,COMPLEXE DES VIGNES D'OULES,,VILLEVEQUE,49140,Club 
PDL0049124,TESSOUALLE,LA TESSOUALLE,,TESSOUALLE,49280,Club 
PDL0049126,GARENNES LOIRE BASKET CLUB 49 - GLBC 49.,"15, Grand'Rue","Mairie, ",Garennes sur Loire (Les),49610,Club 
PDL0049127,SEVRE BASKET A.S.,ESPACE ST HUBERT,SALLE DES SPORTS,TORFOU,49660,Club 
PDL0049128,TOURMELAY BASKET,MELAY,,MELAY,49120,Club 
PDL0049130,TRELAZE BASKET,100 BD DE LA REPUBLIQUE ,COMPLEXE SPORTIF LA GODUCIERE,TRELAZE,49800,Club 
PDL0049131,AVENIR TREMENTINES BASKET,SALLE AUDIGANE,RUE DE LA QUINTAINE,TREMENTINES,49340,Club 
PDL0049133,CTC TERRE DE LAYON​,,,FAVERAYE-MACHELLES,49380,Coopération Territoriale Club 
PDL0049134,VERN D'ANJOU - B. CLUB VERNOIS,ALLEE DES SPORTS,VERN D'ANJOU,VERN-D'ANJOU,49220,Club 
PDL0049135,CTC ANDREA MACAIROIS BASKET​,,,SAINT-MACAIRE-EN-MAUGES,49450,Coopération Territoriale Club 
PDL0049136,VERNOIL,VERNOIL LE FOURRIER,,VERNOIL,49390,Club 
PDL0049138,YZERNAY,MAIRIE,GRANDE RUE,YZERNAY,49360,Club 
PDL0049139,CTC LOIRE ET PLAINE BASKET,,,MAUGES SUR LOIRE,49620,Coopération Territoriale Club 
PDL0049142,CTC DU JEU,15 rue de l'Avenir,,NEUVY-EN-MAUGES,49120,Coopération Territoriale Club 
PDL0049143,SAINTE GEMMES SUR LOIRE,RUE DES GRANDS JARDINS,,SAINTE-GEMMES-SUR-LOIRE,49130,Club 
PDL0049146,BASKET CLUB SAINT BARTHELEMY.,45 RUE DES HERAUDIERES ,,SAINT-BARTHELEMY-D'ANJOU,49124,Club 
PDL0049147,SAINT AUGUSTIN DES BOIS,mairie,MAIRIE ST AUGUSTIN DES BOIS,SAINT-GEORGES-SUR-LOIRE,49170,Club 
PDL0049149,ROSIERS,MAIRIE ROSIERS SUR LOIRE,,CHENEHUTTE-TREVES-CUNAULT,49350,Club 
PDL0049152,BEAUCOUZE,Avenue de la Grange aux Belles,,BEAUCOUZE,49070,Club 
PDL0049156,TIERCE,MAIRIE,,TIERCE,49125,Club 
PDL0049164,SAINT MACAIRE EN MAUGES,ST MACAIRE EN MAUGES,18 ALLEE DES ECUREUILS,SEVREMOINE,49450,Club 
PDL0049165,BOUCHEMAINE,25 RUE DU PETIT VIVIER,,BOUCHEMAINE,49080,Club 
PDL0049166,MONTREUIL JUIGNE,MAIRIE DE MONTREUIL,,MONTREUIL-JUIGNE,49460,Club 
PDL0049170,SAINT ANDRE DE LA MARCHE BASKET,PLACE DE L AIRE DU FOUR,,SAINT-ANDRE-DE-LA-MARCHE,49450,Club 
PDL0049174,LONGUENEE BASKET CLUB,MAIRIE LA MEIGNANNE,,MEIGNANNE,49770,Club 
PDL0049180,LAMBOISIERES-MARTIN BASKET,9 RUE DU LAVOIR,,SAINT-LEGER-DES-BOIS,49170,Club 
PDL0049183,SAINT SYLVAIN D'ANJOU BASKET,MAIRIE,,VERRIERES-EN-ANJOU,49480,Club 
PDL0049186,SAINT LEGER SOUS CHOLET,MAIRIE,RUE DES MAUGES,SAINT-LEGER-SOUS-CHOLET,49280,Club 
PDL0049194,MENITRE,LA MENITRE,MAIRIE,MENITRE,49250,Club 
PDL0049195,ECOUFLANT,MAIRIE,,ECOUFLANT,49000,Club 
PDL0049197,ANGERS - UNION FEMININE  BASKET 49,330 rue SAINT LEONARD,,ANGERS,49000,Club 
PDL0049198,FENEU - REBOND FANOUIN,Place de la Mairie,Mairie de Feneu,FENEU,49460,Club 
